resource,consumer
Fruits and nectar,Gallus varius
Trees and shrubs,Gallus varius
Roots and tubers,Gallus varius
Diplopoda,Gallus varius
Gastrimargus lumbokensis,Gallus varius
Stenocatanops exinsula,Gallus varius
Valanga nigricornis,Gallus varius
Austracris guttulosa,Gallus varius
Blattodea,Gallus varius
Heteroptera,Gallus varius
Trox sp.,Gallus varius
Scarabidae indet,Gallus varius
Coleoptera (other),Gallus varius
Isopoda,Gallus varius
Sphenomorphus melanopogon,Gallus varius
Coelognathus subradiatus,Gallus varius
Dendrelaphis pictus,Gallus varius
Grains and seeds,Geopelia maugeus
Fruits and nectar,Geopelia maugeus
Grains and seeds,Ducula aenea
Fruits and nectar,Ducula aenea
Carrion,Corvus macrorhynchos
Grains and seeds,Corvus macrorhynchos
Fruits and nectar,Corvus macrorhynchos
Trees and shrubs,Corvus macrorhynchos
Roots and tubers,Corvus macrorhynchos
Asperitas trochus,Corvus macrorhynchos
