consumer,resource,PATL
Varanus komodoensis S C,Macaca fascicularis,2.955439
Varanus komodoensis S C,Paradoxurus musangus,3.428895
Varanus komodoensis S C,?Arctogalidia sp.,3.568229
Varanus komodoensis S C,Sus scrofa,3.193718
Varanus komodoensis S C,Cervus timorensis,2
Varanus komodoensis S C,Bubalis bubalis,2
Varanus komodoensis S C,Varanus komodoensis Y,3.677207
Varanus komodoensis S C,Varanus komodoensis J,3.960197
Varanus komodoensis A,Carrion,1
Varanus komodoensis A,Eretmochelys imbricata,3.33241
Varanus komodoensis A,Megapodius reinwardt,3.084459
Varanus komodoensis A,Gallus varius,3.209992
Varanus komodoensis A,Macaca fascicularis,2.955439
Varanus komodoensis A,Sus scrofa,3.193718
Varanus komodoensis A,Cervus timorensis,2
Varanus komodoensis A,Bubalis bubalis,2
Varanus komodoensis A C,Carrion,1
Varanus komodoensis A C,Eretmochelys imbricata,3.33241
Varanus komodoensis A C,Megapodius reinwardt,3.084459
Varanus komodoensis A C,Gallus varius,3.209992
Varanus komodoensis A C,Macaca fascicularis,2.955439
Varanus komodoensis A C,Sus scrofa,3.193718
Varanus komodoensis A C,Cervus timorensis,2
Varanus komodoensis A C,Bubalis bubalis,2
Varanus komodoensis A C,Varanus komodoensis Y,3.677207
Varanus komodoensis A C,Varanus komodoensis J,3.960197
Varanus komodoensis A C,Varanus komodoensis S,4.076648
Varanus komodoensis Y Tsp,Orthoptera,2
Varanus komodoensis Y Tsp,Coleoptera,2.487879
Varanus komodoensis Y Tsp,Gekko gekko,3.292738
Varanus komodoensis Y Tsp,Hemidactylus spp.,3.265548
Varanus komodoensis Y Tsp,Sphenomorphus florensis,3.283357
Varanus komodoensis J Tsp,Carrion,1
Varanus komodoensis J Tsp,Asperitas trochus,2.5
Varanus komodoensis J Tsp,Bivalvia,2.333333
Varanus komodoensis J Tsp,Orthoptera,2
Varanus komodoensis J Tsp,Coleoptera,2.487879
Varanus komodoensis J Tsp,Brachyura,2.5
Varanus komodoensis J Tsp,Teleostei,2.964242
Varanus komodoensis J Tsp,Gekko gekko,3.292738
Varanus komodoensis J Tsp,Hemidactylus spp.,3.265548
Varanus komodoensis J Tsp,Sphenomorphus florensis,3.283357
Varanus komodoensis J Tsp,Coelognathus subradiatus,4.042421
Varanus komodoensis J Tsp,Dendrelaphis pictus,4.255964
Varanus komodoensis J Tsp,Daboia siamensis,4.160061
Varanus komodoensis J Tsp,Eretmochelys imbricata,3.326182
Varanus komodoensis J Tsp,Megapodius reinwardt,3.102801
Varanus komodoensis J Tsp,Gallus varius,3.289135
Varanus komodoensis J Tsp,Doves,2
Varanus komodoensis J Tsp,Haliastur indus,3.908009
Varanus komodoensis J Tsp,Crocidura sp.,3.333363
Varanus komodoensis J Tsp,Hipposideros diadema,3.352415
Varanus komodoensis J Tsp,Pteropus vampyrus,2
Varanus komodoensis J Tsp,Mus musculus,2.615333
Varanus komodoensis J Tsp,Rats,2.615333
Varanus komodoensis J Tsp,Paradoxurus musangus,3.443964
Varanus komodoensis J Tsp,?Arctogalidia sp.,3.679955
Varanus komodoensis J Tsp C,Carrion,1
Varanus komodoensis J Tsp C,Asperitas trochus,2.5
Varanus komodoensis J Tsp C,Bivalvia,2.333333
Varanus komodoensis J Tsp C,Orthoptera,2
Varanus komodoensis J Tsp C,Coleoptera,2.487879
Varanus komodoensis J Tsp C,Brachyura,2.5
Varanus komodoensis J Tsp C,Teleostei,2.964242
Varanus komodoensis J Tsp C,Gekko gekko,3.292738
Varanus komodoensis J Tsp C,Hemidactylus spp.,3.265548
Varanus komodoensis J Tsp C,Sphenomorphus florensis,3.283357
Varanus komodoensis J Tsp C,Coelognathus subradiatus,4.042421
Varanus komodoensis J Tsp C,Dendrelaphis pictus,4.255964
Varanus komodoensis J Tsp C,Daboia siamensis,4.160061
