resource,consumer
Dendrelaphis pictus,Sus scrofa
Varanus komodoensis Y,Sus scrofa
Fruits and nectar,Cervus timorensis
Grass and herbs,Cervus timorensis
Trees and shrubs,Cervus timorensis
Grass and herbs,Bubalis bubalis
Trees and shrubs,Bubalis bubalis
Orthoptera,Varanus komodoensis Y
Coleoptera,Varanus komodoensis Y
Gekko gekko,Varanus komodoensis Y
Hemidactylus spp.,Varanus komodoensis Y
Sphenomorphus melanopogon,Varanus komodoensis Y
Carrion,Varanus komodoensis J
Asperitas trochus,Varanus komodoensis J
Bivalvia,Varanus komodoensis J
Orthoptera,Varanus komodoensis J
Coleoptera,Varanus komodoensis J
Brachyura,Varanus komodoensis J
Teleostei,Varanus komodoensis J
Gekko gekko,Varanus komodoensis J
Hemidactylus spp.,Varanus komodoensis J
