Specimen_no,Field_no,Institution,Locality,Loc_known,Class,Subclass,Order,Suborder,Superfamily,Family,Subfamily,Genus,Species,Type_status,Original_ID,OTU,OTU2,Preservation,Taph_cat,Collected_by,Date_collected,Description,In_ex_situ,References
TMP1993.109.0052,DHT/BB9/28/7/93-34,TMP,BB009,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,D. Tanke,1993,Caudal vertebra,ex situ,Evans et al. 2013
TMP1993.109.0054,DHT/BB9/27/7/93-1,TMP,BB009,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,D. Tanke,1993,Phalanx,ex situ,Evans et al. 2013
TMP1994.012.0681,DHT/DPP-192 1994,TMP,BB028,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,D. Tanke,1993,Vertebra,,Evans et al. 2013
TMP1993.036.0253,RJT.93.5,TMP,BB030,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1993,Caudal vertebra,,Evans et al. 2013
TMP1998.093.0125,DHT/1998/DPP-125,TMP,BB032,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,D. Tanke,1998,Skull element,,Evans et al. 2013
TMP1981.019.0232,,TMP,BB042,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1981,Skull element,ex situ,Evans et al. 2013
TMP1992.036.0437,,TMP,BB047,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1992,Skull element,ex situ,Evans et al. 2013
TMP1996.012.0382,DHT/BB47.73,TMP,BB047,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,D. Tanke,1996,Vertebra,,Evans et al. 2013
TMP1996.012.0383,DHT/BB47.55,TMP,BB047,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,D. Tanke,1996,Parietal,,Evans et al. 2013
TMP1996.012.0384,DHT/BB47.85,TMP,BB047,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,D. Tanke,1996,Vertebra,,Evans et al. 2013
TMP1990.036.0397,,TMP,BB050,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1990,Vertebra,ex situ,Evans et al. 2013
TMP1991.036.0319,,TMP,BB050,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1991,Dorsal vertebra,ex situ,Evans et al. 2013
TMP1992.036.0252,,TMP,BB050,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1992,Caudal vertebra,in situ,Evans et al. 2013
TMP1994.045.0016,,TMP,BB050,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1994,Vertebra,ex situ,Evans et al. 2013
TMP1995.012.0127,DHT/BB50-30,TMP,BB050,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,D. Tanke,1995,Fibula,,Evans et al. 2013
TMP1995.405.0045,DHT/BB50-24,TMP,BB050,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,D. Tanke,1995,Vertebra,,Evans et al. 2013
TMP1981.019.0053,,TMP,BB056,Y,Sauria,Dinosauria,Ornithischia,Cerapoda,Marginocephalia,Pachycephalosauridae,,,,,,Pachycephalosauridae indet,Small ornithischians,IE,TERR,,1981,Skull � incomplete,,Evans et al. 2013
